PLAIN_CONFIGURATION,MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,bu_minsim,bu_minsize,st_minprio,st_priocalc,cd_labsim,cd_maxleaves,cd_structsim1,cd_structsim2,xy_minsim,
HybridGumtree-bu_minsize-2000-st_minprio-1-st_priocalc-size,HybridGumtree,,,,,,,,,,,prunned,,2000,1,size,,,,,,
HybridGumtree-bu_minsize-2000-st_minprio-2-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3576,0,0,,2000,2,size,,,,,,
HybridGumtree-bu_minsize-2000-st_minprio-3-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3592,0,0,,2000,3,size,,,,,,
HybridGumtree-bu_minsize-2000-st_minprio-4-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3505,0,0,,2000,4,size,,,,,,
HybridGumtree-bu_minsize-2000-st_minprio-5-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3541,0,0,,2000,5,size,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-1-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,100,1,height,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-2-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,6,0,0,,100,2,height,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-3-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,2,0,0,,100,3,height,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-4-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,3,0,0,,100,4,height,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-5-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,2,0,0,,100,5,height,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-1-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,200,1,height,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-2-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,6,0,0,,200,2,height,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-3-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,2,0,0,,200,3,height,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-4-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,3,0,0,,200,4,height,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-5-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,2,0,0,,200,5,height,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-1-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,300,1,height,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-2-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,6,0,0,,300,2,height,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-3-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,3,0,0,,300,3,height,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-4-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,2,0,0,,300,4,height,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-5-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,3,0,0,,300,5,height,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-1-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,400,1,height,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-2-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,6,0,0,,400,2,height,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-3-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,3,0,0,,400,3,height,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-4-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,2,0,0,,400,4,height,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-5-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,3,0,0,,400,5,height,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-1-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,6,0,0,,500,1,height,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-2-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,500,2,height,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-3-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,3,0,0,,500,3,height,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-4-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,2,0,0,,500,4,height,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-5-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,3,0,0,,500,5,height,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-1-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,6,0,0,,600,1,height,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-2-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,600,2,height,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-3-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,2,0,0,,600,3,height,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-4-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,3,0,0,,600,4,height,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-5-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,2,0,0,,600,5,height,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-1-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,700,1,height,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-2-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,700,2,height,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-3-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,2,0,0,,700,3,height,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-4-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,3,0,0,,700,4,height,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-5-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,2,0,0,,700,5,height,,,,,,
HybridGumtree-bu_minsize-800-st_minprio-1-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,800,1,height,,,,,,
HybridGumtree-bu_minsize-800-st_minprio-2-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,800,2,height,,,,,,
HybridGumtree-bu_minsize-800-st_minprio-3-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,2,0,0,,800,3,height,,,,,,
HybridGumtree-bu_minsize-800-st_minprio-4-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,3,0,0,,800,4,height,,,,,,
HybridGumtree-bu_minsize-800-st_minprio-5-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,2,0,0,,800,5,height,,,,,,
HybridGumtree-bu_minsize-900-st_minprio-1-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,900,1,height,,,,,,
HybridGumtree-bu_minsize-900-st_minprio-2-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,6,0,0,,900,2,height,,,,,,
HybridGumtree-bu_minsize-900-st_minprio-3-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,3,0,0,,900,3,height,,,,,,
HybridGumtree-bu_minsize-900-st_minprio-4-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,2,0,0,,900,4,height,,,,,,
HybridGumtree-bu_minsize-900-st_minprio-5-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,3,0,0,,900,5,height,,,,,,
HybridGumtree-bu_minsize-1000-st_minprio-1-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,1000,1,height,,,,,,
HybridGumtree-bu_minsize-1000-st_minprio-2-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,6,0,0,,1000,2,height,,,,,,
HybridGumtree-bu_minsize-1000-st_minprio-3-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,2,0,0,,1000,3,height,,,,,,
HybridGumtree-bu_minsize-1000-st_minprio-4-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,3,0,0,,1000,4,height,,,,,,
HybridGumtree-bu_minsize-1000-st_minprio-5-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,3,0,0,,1000,5,height,,,,,,
HybridGumtree-bu_minsize-1100-st_minprio-1-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,6,0,0,,1100,1,height,,,,,,
HybridGumtree-bu_minsize-1100-st_minprio-2-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,6,0,0,,1100,2,height,,,,,,
HybridGumtree-bu_minsize-1100-st_minprio-3-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,2,0,0,,1100,3,height,,,,,,
HybridGumtree-bu_minsize-1100-st_minprio-4-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,3,0,0,,1100,4,height,,,,,,
HybridGumtree-bu_minsize-1100-st_minprio-5-st_priocalc-height,HybridGumtree,42,null,19,23,0,0,0,0,3,0,0,,1100,5,height,,,,,,
HybridGumtree-bu_minsize-1200-st_minprio-1-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,3543,0,0,,1200,1,height,,,,,,
HybridGumtree-bu_minsize-1200-st_minprio-2-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,3570,0,0,,1200,2,height,,,,,,
HybridGumtree-bu_minsize-1200-st_minprio-3-st_priocalc-height,HybridGumtree,5,null,0,4,1,0,0,0,3534,0,0,,1200,3,height,,,,,,
